lambda,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
500,0.8915,1.0471,1.0685,1.0757,1.0791,1.0811,1.0825,1.0830,1.0843,1.0834,1.0615,1.0614,1.0614,1.0621,1.0621
1000,0.7973,1.0303,1.0719,1.0858,1.0921,1.0953,1.0977,1.0988,1.0988,1.1001,1.1000,1.1001,1.1002,1.1012,1.1013
1500,0.7973,0.9954,1.0551,1.0749,1.0840,1.0883,1.0916,1.0931,1.0901,1.0956,1.0920,1.0926,1.0929,1.0939,1.0939
2000,0.7973,0.9638,1.0386,1.0642,1.0759,1.0819,1.0855,1.0878,1.0839,1.0911,1.0864,1.0872,1.0877,1.0887,1.0888
2500,0.7973,0.9355,1.0246,1.0540,1.0680,1.0752,1.0793,1.0821,1.0792,1.0859,1.0820,1.0830,1.0836,1.0847,1.0847
3000,0.7973,0.9082,1.0103,1.0454,1.0616,1.0697,1.0742,1.0774,1.0753,1.0816,1.0784,1.0796,1.0803,1.0814,1.0814
3500,0.7973,0.8833,0.9980,1.0368,1.0551,1.0646,1.0698,1.0734,1.0720,1.0780,1.0754,1.0768,1.0775,1.0786,1.0787
4000,0.7973,0.8761,0.9874,1.0293,1.0489,1.0596,1.0653,1.0695,1.0691,1.0746,1.0727,1.0743,1.0751,1.0762,1.0762
4500,0.7973,0.8761,0.9759,1.0227,1.0435,1.0552,1.0614,1.0660,1.0666,1.0715,1.0704,1.0721,1.0730,1.0741,1.0741
5000,0.7973,0.8761,0.9651,1.0168,1.0387,1.0512,1.0579,1.0628,1.0643,1.0687,1.0683,1.0701,1.0710,1.0721,1.0722
5500,0.7973,0.8761,0.9553,1.0105,1.0343,1.0476,1.0547,1.0600,1.0623,1.0662,1.0665,1.0683,1.0693,1.0704,1.0705
6000,0.7973,0.8761,0.9464,1.0038,1.0303,1.0444,1.0518,1.0574,1.0604,1.0639,1.0647,1.0667,1.0677,1.0689,1.0689
6500,0.7973,0.8761,0.9370,0.9977,1.0256,1.0414,1.0491,1.0550,1.0587,1.0618,1.0632,1.0652,1.0663,1.0674,1.0675
7000,0.7973,0.8761,0.9281,0.9920,1.0212,1.0379,1.0466,1.0528,1.0571,1.0599,1.0617,1.0638,1.0649,1.0661,1.0662
7500,0.7973,0.8761,0.9194,0.9867,1.0172,1.0345,1.0438,1.0505,1.0554,1.0581,1.0604,1.0625,1.0637,1.0648,1.0649
8000,0.7973,0.8761,0.9109,0.9817,1.0134,1.0313,1.0411,1.0481,1.0530,1.0562,1.0586,1.0610,1.0623,1.0635,1.0637
8500,0.7973,0.8761,0.9075,0.9771,1.0098,1.0284,1.0386,1.0459,1.0507,1.0544,1.0567,1.0592,1.0606,1.0619,1.0622
9000,0.7973,0.8761,0.9075,0.9725,1.0064,1.0256,1.0363,1.0438,1.0485,1.0528,1.0549,1.0575,1.0590,1.0604,1.0608
9500,0.7973,0.8761,0.9075,0.9676,1.0032,1.0230,1.0340,1.0419,1.0465,1.0512,1.0533,1.0559,1.0575,1.0590,1.0595
10000,0.7973,0.8761,0.9075,0.9629,1.0002,1.0205,1.0319,1.0400,1.0446,1.0497,1.0517,1.0544,1.0561,1.0577,1.0583
